Colaborador,Suggestion ID,Productora,Correction ID,Product ID,Ver PDP,Dominio,Sección,Acción,Atributo,Valor actual,Valor sugerido,URL imagen sugerida,Decision esperada,Decision respondida,Coincide decision,Código esperado,Código respondido,Coincide código,Comentario colaborador,Fecha de accionado,SCRIPT,COLAB,Comentario,TL auditor
JOASTORI,Netkel-ABN,Netkel,806768889,MLA34347931,https://www.mercadolibre.com.ar/p/MLA34347931,PET_NAIL_CLIPPERS,main_features,ADD,,,Antideslizante: sí.,,APROBACION,APROBACION,SÍ,,,SÍ,,15/05/2026 10:26:23,,,,
YAPORTAS,Netkel-AAI,Netkel,643271261,MLA15063292,https://www.mercadolibre.com.ar/p/MLA15063292,LED_STRIPS,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_664512-MLA110802463865_042026-F.jpg,RECHAZO,RECHAZO,SÍ,E-IMGI,E-IMGI,SÍ,,15/05/2026 10:26:28,,,,
YAPORTAS,Netkel-AAI,Netkel,643271262,MLA15063292,https://www.mercadolibre.com.ar/p/MLA15063292,LED_STRIPS,image,DELETE,,,,https://http2.mlstatic.com/D_NQ_NP_704847-MLA99600265258_122025-F.jpg,RECHAZO,RECHAZO,SÍ,E-ICN,E-ICN,SÍ,,15/05/2026 10:26:29,,,,
FLAGUSTI,Netkel-AFQ,Netkel,953556386,MLA57623837,https://www.mercadolibre.com.ar/p/MLA57623837,UMBRELLAS,attribute,UPDATE,COLOR,Azul,Negro,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DUPA,SÍ,54263452,15/05/2026 10:26:43,,,,
FLAGUSTI,Netkel-AFQ,Netkel,953556387,MLA57623837,https://www.mercadolibre.com.ar/p/MLA57623837,UMBRELLAS,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_625744-MLA99465152490_112025-F.jpg,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DUPA,SÍ,54263452,15/05/2026 10:26:43,,,,
FLAGUSTI,Netkel-AFQ,Netkel,953556388,MLA57623837,https://www.mercadolibre.com.ar/p/MLA57623837,UMBRELLAS,title,UPDATE,,Paraguas Callaway Plegable 109cm Automátic | The Golfer Shop Color Azul Diseño De La Tela Liso,Paraguas Callaway Plegable 109cm Automátic | The Golfer Shop Color Negro Diseño De La Tela Liso,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DUPA,SÍ,54263452,15/05/2026 10:26:44,,,,
DAIPEREY,Netkel-BBR,Netkel,118963722,MLA61608232,https://www.mercadolibre.com.ar/p/MLA61608232,PLANT_POTS_AND_PLANTERS,attribute,UPDATE,UNITS_PER_PACKAGE,4,1,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-NCP,NO,,15/05/2026 10:26:48,OK,NOT OK,,ext_mamincz
DAIPEREY,Netkel-BBR,Netkel,118963723,MLA61608232,https://www.mercadolibre.com.ar/p/MLA61608232,PLANT_POTS_AND_PLANTERS,attribute,UPDATE,COLOR,Blanco,Vison,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-NCP,NO,,15/05/2026 10:26:49,OK,NOT OK,,ext_mamincz
DAIPEREY,Netkel-BBR,Netkel,118963724,MLA61608232,https://www.mercadolibre.com.ar/p/MLA61608232,PLANT_POTS_AND_PLANTERS,attribute,UPDATE,PATTERN_NAME,Riga 13,Riga 17,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-NCP,NO,,15/05/2026 10:26:49,OK,NOT OK,,ext_mamincz
DAIPEREY,Netkel-BBR,Netkel,118963725,MLA61608232,https://www.mercadolibre.com.ar/p/MLA61608232,PLANT_POTS_AND_PLANTERS,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_724772-MLA103340043841_012026-F.jpg,RECHAZO,RECHAZO,SÍ,E-DUPA,E-NCP,NO,,15/05/2026 10:26:50,OK,NOT OK,,ext_mamincz
DAIPEREY,Netkel-BBR,Netkel,118963726,MLA61608232,https://www.mercadolibre.com.ar/p/MLA61608232,PLANT_POTS_AND_PLANTERS,title,UPDATE,,Macetas Plásticas Riga Premium Combo X 4 N 13 - Blanco - Riga 13,Macetas Plásticas Riga Premium N 17 - Vison - Riga 17,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-NCP,NO,,15/05/2026 10:26:50,OK,NOT OK,,ext_mamincz
JOAVGUST,Netkel-AZX,Netkel,952508471,MLA38297187,https://www.mercadolibre.com.ar/p/MLA38297187,NON_CORRECTIVE_GLASSES_AND_FRAMES,attribute,UPDATE,COLOR,Negro mate MS MOK BLK OPTICS,Negro Brillo Patilla Azul SBLK BLUE Optics,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DC,NO,,15/05/2026 10:26:58,OK,NOT OK,,ext_mamincz
JOAVGUST,Netkel-AZX,Netkel,952508472,MLA38297187,https://www.mercadolibre.com.ar/p/MLA38297187,NON_CORRECTIVE_GLASSES_AND_FRAMES,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_983421-MLU77692994073_072024-F.jpg,RECHAZO,APROBACION,NO,E-DUPA,,NO,,15/05/2026 10:26:58,OK,NOT OK,,ext_mamincz
JOAVGUST,Netkel-AZX,Netkel,952508473,MLA38297187,https://www.mercadolibre.com.ar/p/MLA38297187,NON_CORRECTIVE_GLASSES_AND_FRAMES,title,UPDATE,,Anteojo Armazon Vulk Saint Gafas Volume Injesteel Optica Color Negro Mate Ms Mok Blk Optics,Anteojo Armazon Vulk Saint Gafas Volume Injesteel Optica Color Negro Brillo Patilla Azul SBLK BLUE Optics,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DC,NO,,15/05/2026 10:26:58,OK,NOT OK,,ext_mamincz
ESGUADAL,Netkel-BIX,Netkel,870978314,MLA27932227,https://www.mercadolibre.com.ar/p/MLA27932227,AUTOMOTIVE_TIRES,image,ADD,,,,https://drive.google.com/file/d/1LTKJ893QEaJ6IiliA11D2aBG7Poe8WB-/view?usp=drivesdk,RECHAZO,RECHAZO,SÍ,E-QR,E-QR,SÍ,,15/05/2026 10:26:59,,,,
ESGUADAL,Netkel-BIX,Netkel,870978315,MLA27932227,https://www.mercadolibre.com.ar/p/MLA27932227,AUTOMOTIVE_TIRES,image,DELETE,,,,https://http2.mlstatic.com/D_NQ_NP_901433-MLA99439731276_112025-F.jpg,RECHAZO,RECHAZO,SÍ,E-ICN,E-ICN,SÍ,,15/05/2026 10:27:00,,,,
ESGUADAL,Netkel-BIX,Netkel,870978316,MLA27932227,https://www.mercadolibre.com.ar/p/MLA27932227,AUTOMOTIVE_TIRES,title,UPDATE,,Kit 2 Neumaticos Fate Eximia Pininfarina Green 195/50 R16 Cubiertas 195 50 16 Gomas 195x50x16 84V Rodado 16,Kit 2 Neumaticos Fate Eximia Pininfarina Greem 195/50 R16 Cubiertas 195 50 16 Gomas 195x50x16 84V Rodado 16,,RECHAZO,RECHAZO,SÍ,E-ORT,E-ORT,SÍ,,15/05/2026 10:27:00,,,,
ESGUADAL,Netkel-BIX,Netkel,870978317,MLA27932227,https://www.mercadolibre.com.ar/p/MLA27932227,AUTOMOTIVE_TIRES,attribute,ADD,WITH_ICE_GRIP,,"No, no ofrese agarre en ielo ni en superfiies con escarcha.",,RECHAZO,RECHAZO,SÍ,E-ORT,E-ORT,SÍ,,15/05/2026 10:27:00,,,,
ESGUADAL,Netkel-BIX,Netkel,870978319,MLA27932227,https://www.mercadolibre.com.ar/p/MLA27932227,AUTOMOTIVE_TIRES,image,REORDER,,https://http2.mlstatic.com/D_NQ_NP_901433-MLA99439731276_112025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_630939-MLA87439314195_072025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_926558-MLA92879222979_092025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_629035-MLA92879311271_092025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_848369-MLA84834767529_052025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_966179-MLA92879331347_092025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_946358-MLA92879410161_092025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_965657-MLA99410283422_112025-F.jpg,https://http2.mlstatic.com/D_NQ_NP_946358-MLA92879410161_092025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_901433-MLA99439731276_112025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_630939-MLA87439314195_072025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_926558-MLA92879222979_092025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_629035-MLA92879311271_092025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_848369-MLA84834767529_052025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_966179-MLA92879331347_092025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_965657-MLA99410283422_112025-F.jpg,,RECHAZO,RECHAZO,SÍ,E-FI,E-ISVE,NO,,15/05/2026 10:27:01,REVISAR,,ver codigo,ext_cecignol
,,,,,,,,,,,,,,,,,,,,,,,,
OLA,Netkel-ASJ,Netkel,258855742,MLA15146369,https://www.mercadolibre.com.ar/p/MLA15146369,BOX_SPRING_AND_MATTRESS_KITS,attribute,UPDATE,COLOR,Gris/Blanco,Turquesa/Dorado,,RECHAZO,RECHAZO,SÍ,E-NCP,E-REL,NO,,15/05/2026 10:27:25,OK,NOT OK,,ext_cecignol
,,,,,,,,,,,,,,,,,,,,,,,,
OLA,Netkel-ASJ,Netkel,258855743,MLA15146369,https://www.mercadolibre.com.ar/p/MLA15146369,BOX_SPRING_AND_MATTRESS_KITS,attribute,UPDATE,MAIN_BED_WIDTH,200 cm,195 cm,,RECHAZO,RECHAZO,SÍ,E-NCP,E-REL,NO,,15/05/2026 10:27:26,OK,NOT OK,,ext_cecignol
,,,,,,,,,,,,,,,,,,,,,,,,
OLA,Netkel-ASJ,Netkel,258855744,MLA15146369,https://www.mercadolibre.com.ar/p/MLA15146369,BOX_SPRING_AND_MATTRESS_KITS,title,UPDATE,,Sommier Piero Montreaux Pillow 200 X 200 King Resortes Color Blanco/Gris,Sommier Piero Montreaux Pillow 200 X 195 King Resortes Color Turquesa/Dorado,,RECHAZO,RECHAZO,SÍ,E-NCP,E-REL,NO,,15/05/2026 10:27:26,OK,NOT OK,,ext_cecignol
,,,,,,,,,,,,,,,,,,,,,,,,
OLA,Netkel-ASJ,Netkel,258855745,MLA15146369,https://www.mercadolibre.com.ar/p/MLA15146369,BOX_SPRING_AND_MATTRESS_KITS,description,UPDATE,,"Sommier Piero Montreaux Pillow Top Medida King - Medidas: 200 cm x 200 cm x 34 cm. (Colchón) - 65 cm (Conjunto).

El colchón que se adapta a los dos:

Montreaux está pensado para que tengas una excelente convivencia. Gracias a su tecnología Pocket de resortes enfundados individualmente logra absorber los movimientos adaptándose siempre al contorno de los cuerpos, evitando la interrupción del sueño. 
Este colchón no sólo otorga un excelente descanso, sino que se encuentra tapizado en tela de tejido de punto que resulta suave al tacto.
El Pillow Top Brinda la sensación de estar durmiendo sobre una almohada.
La Base está fabricada con madera nativa seleccionada y seca.
Su diseño de construcción de elásticos longitudinales posibilita que no se transfieran los movimientos de una persona a la otra.

ESPECIFICACIONES:

- Medidas: 200 cm x 200 cm x 34 cm. (Colchón) - 65 cm (Conjunto).
- Marca: Piero.
- Modelo: Montreaux Pillow Top.
- Resortes: Enfundados Individualmente de Acero templado. (Pocket System).
- Marco perimetral de acero y estabilizadores dobles en laterales y esquineras. (Maximiza la superficie aprovechable del colchón. La firmeza reforzada de los bordes permite sentarse sin que el colchón ceda.
- Revestimiento: Tela Jackard Pique de Algodón Importado.
- Pillow Top Doble: Manta de fibra de poliéster orientada y termofijada. Brinda la sensación de estar durmiendo sobre una almohada.
- Duvet sintético G 250: Manta de fibra de poliéster orientada y termofijada. Brinda la sensación de estar durmiendo sobre una almohada.
- Manta Multiforma Anti-Stress: Espuma de poliuretano conformado. Alivia las presiones puntuales sobre el cuerpo. Mejora la circulación del aire entre el cuerpo y el colchón.
- Tratamiento Anti Ácaros. Mantiene el colchón más higiénico. Repele los ácaros aún con el paso del tiempo.
- Totalmente Matelaseado y combinado con mantas de espuma.
- Aireadores:Permite que el colchón respire. Evita malos olores.
- Base Doble: Madera nativa seleccionada y seca, revestida en la misma tela del colchón.
- Patas: Doce unidades de madera maciza y torneadas.","Sommier Piero Montreaux II Pillow Top con resortes, ideal para un descanso firme y confortable. Presenta medidas de 200 cm de largo por 195 cm de ancho en tamaño King, con base dividida para facilitar el traslado e instalación. Tapizado en color Turquesa/Dorado para un estilo distintivo en tu dormitorio.",,RECHAZO,RECHAZO,SÍ,E-NCP,E-REL,NO,,15/05/2026 10:27:26,OK,NOT OK,,ext_cecignol
,,,,,,,,,,,,,,,,,,,,,,,,
JOASTORI,Netkel-ABM,Netkel,634366139,MLA43424809,https://www.mercadolibre.com.ar/p/MLA43424809,AUTOMOTIVE_TIRES,image,ADD,,,,https://drive.google.com/file/d/11bvG76RipMtIJ01UFktcu8kC9G3yQnuy/view?usp=drivesdk,RECHAZO,RECHAZO,SÍ,E-DC,E-DC,SÍ,,15/05/2026 10:27:55,,,,
JOASTORI,Netkel-ABM,Netkel,634366140,MLA43424809,https://www.mercadolibre.com.ar/p/MLA43424809,AUTOMOTIVE_TIRES,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_930339-MLA99407587036_112025-F.jpg,RECHAZO,RECHAZO,SÍ,E-IPDP,E-IPDP,SÍ,,15/05/2026 10:27:55,,,,
JOASTORI,Netkel-ABM,Netkel,634366141,MLA43424809,https://www.mercadolibre.com.ar/p/MLA43424809,AUTOMOTIVE_TIRES,description,UPDATE,,"Neumático Lanvigator Comfort II 165 70 R13 79T Cavallino

Los neumáticos Lanvigator ofrecen buen agarre en las curvas, estabilidad en carretera y una óptima maniobrabilidad en suelos mojados y secos, lo cual proporciona un mejor control sobre el vehículo. Esto se traduce en máxima seguridad tanto para el conductor como para los acompañantes y el resto de vehículos en circulación. Tienen un diseño moderno y silencioso que mejora el confort en los viajes y dentro de la ciudad.","Neumático Lanvigator Comfort II 165/70 R13 79T Cavallino.

Los neumáticos Lanvigator ofrecen buen agarre en las curvas, estabilidad en carretera y una óptima maniobrabilidad en suelos mojados y secos, lo cual proporciona un mejor control sobre el vehículo. Esto se traduce en máxima seguridad tanto para el conductor como para los acompañantes y el resto de vehículos en circulación. Tienen un diseño moderno y silencioso que mejora el confort en los viajes y dentro de la ciudad.

Producto nuevo, sellado, sin uso.",,RECHAZO,RECHAZO,SÍ,E-DP,E-DP,SÍ,,15/05/2026 10:27:56,,,,
ZOGRAZIA,Netkel-ACH,Netkel,336779871,MLA23291202,https://www.mercadolibre.com.ar/p/MLA23291202,ELECTRIC_SCREWDRIVERS_AND_IMPACT_WRENCHES,image,ADD,,,,https://drive.google.com/file/d/1eQ34OQ25gJJt708UH7_6telj0o0ZGtvO/view?usp=drivesdk,RECHAZO,RECHAZO,SÍ,E-QR,E-QR,SÍ,,15/05/2026 10:28:05,,,,
ZOGRAZIA,Netkel-ACH,Netkel,336779872,MLA23291202,https://www.mercadolibre.com.ar/p/MLA23291202,ELECTRIC_SCREWDRIVERS_AND_IMPACT_WRENCHES,attribute,UPDATE,COLOR,Amarillo,205 Nm,,RECHAZO,RECHAZO,SÍ,E-COH,E-COH,SÍ,,15/05/2026 10:28:05,,,,
NAMANGAS,Netkel-AVY,Netkel,778183455,MLA21989508,https://www.mercadolibre.com.ar/p/MLA21989508,MUSIC_ALBUMS,title,UPDATE,,Weezer - Ok Human Lp,Weezer - OK Human LP (vinilo) - ya intenté cambiarlo mil veces y este sistema de mierda no me deja,,RECHAZO,RECHAZO,SÍ,E-LNA,E-REL,NO,,15/05/2026 10:28:14,OK,NOT OK,,ext_lopmatia
NAMANGAS,Netkel-AVY,Netkel,778183457,MLA21989508,https://www.mercadolibre.com.ar/p/MLA21989508,MUSIC_ALBUMS,description,UPDATE,,"Vinilo de 180 GRS que ofrece una experiencia auditiva excepcional. Este álbum, titulado ""OK Human"", es una obra maestra del icónico grupo Weezer, lanzado en 2021. Con un total de 12 canciones, cada pista está diseñada para llevarte a un viaje emocional, comenzando con ""ALL MY FAVORITE SONGS"" y culminando en ""LA BREA TAR PITS"". El género rock se fusiona con elementos innovadores, creando un sonido fresco y cautivador. Este vinilo, importado y producido por Atlantic, es ideal para los amantes de la música que valoran la calidad del sonido y el arte del formato físico. Su presentación incluye un embalaje adicional, asegurando que el producto llegue en perfectas condiciones. Con dimensiones de 38 cm de altura, 32 cm de ancho y 5 cm de largo, y un peso de 450 g, este álbum es una adición imprescindible para cualquier colección.","Vinilo de 180 GRS que ofrece una experiencia auditiva excepcional. Este álbum, titulado ""OK Human"", es una obra maestra del icónico grupo Weezer, lanzado en 2021. Con un total de 12 canciones, cada pista está diseñada para llevarte a un viaje emocional, comenzando con ""ALL MY FAVORITE SONGS"" y culminando en ""LA BREA TAR PITS"". El género rock se fusiona con elementos innovadores, creando un sonido fresco y cautivador. Este vinilo, importado y producido por Atlantic, es ideal para los amantes de la música que valoran la calidad del sonido y el arte del formato físico. No incluye tracks adicionales. Su presentación incluye un embalaje adicional, asegurando que el producto llegue en perfectas condiciones. Con dimensiones de 38 cm de altura, 32 cm de ancho y 5 cm de largo, y un peso de 450 g, este álbum es una adición imprescindible para cualquier colección.",,APROBACION,APROBACION,SÍ,,,SÍ,,15/05/2026 10:28:15,,,,
MATVALLE,Netkel-AYC,Netkel,803632154,MLA39576947,https://www.mercadolibre.com.ar/p/MLA39576947,SPORT_AND_BAZAAR_BOTTLES,attribute,UPDATE,COLOR,Gris oscuro,Turquesa,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DUPA,SÍ,Id de duplicado en grilla 39610316,15/05/2026 10:28:52,,,,
MATVALLE,Netkel-AYC,Netkel,803632155,MLA39576947,https://www.mercadolibre.com.ar/p/MLA39576947,SPORT_AND_BAZAAR_BOTTLES,attribute,UPDATE,PATTERN_NAME,Bark Gray,Vine Cyan,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DUPA,SÍ,Id de duplicado en grilla 39610316,15/05/2026 10:28:53,,,,
MATVALLE,Netkel-AYC,Netkel,803632156,MLA39576947,https://www.mercadolibre.com.ar/p/MLA39576947,SPORT_AND_BAZAAR_BOTTLES,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_751643-MLU78440396824_082024-F.jpg,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DUPA,SÍ,Id de duplicado en grilla 39610316,15/05/2026 10:28:53,,,,
MATVALLE,Netkel-AYC,Netkel,803632157,MLA39576947,https://www.mercadolibre.com.ar/p/MLA39576947,SPORT_AND_BAZAAR_BOTTLES,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_734126-MLU78440289860_082024-F.jpg,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DUPA,SÍ,Id de duplicado en grilla 39610316,15/05/2026 10:28:53,,,,
MATVALLE,Netkel-AYC,Netkel,803632158,MLA39576947,https://www.mercadolibre.com.ar/p/MLA39576947,SPORT_AND_BAZAAR_BOTTLES,title,UPDATE,,Botella Uzspace Tritan Sin BPA 500ml Gris Oscuro Antigoteo Hermética,Botella Uzspace Tritan Sin BPA 500ml Turquesa Vine Cyan Antigoteo Hermética,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DUPA,SÍ,Id de duplicado en grilla 39610316,15/05/2026 10:28:54,,,,
YAPORTAS,Netkel-AAO,Netkel,900942073,MLA23881633,https://www.mercadolibre.com.ar/p/MLA23881633,NIGHTSTANDS,image,ADD,,,,https://drive.google.com/file/d/168-__KS8Ze9UHB6UUYjgEGpEb5W4Mykz/view?usp=drivesdk,RECHAZO,RECHAZO,SÍ,E-QR,E-DC,NO,,15/05/2026 10:29:13,OK,NOT OK,,ext_mamincz
YAPORTAS,Netkel-AAO,Netkel,900942074,MLA23881633,https://www.mercadolibre.com.ar/p/MLA23881633,NIGHTSTANDS,attribute,UPDATE,COLOR,Nogal/Negro,15 kg,,RECHAZO,RECHAZO,SÍ,E-COH,E-COH,SÍ,,15/05/2026 10:29:13,,,,
YAPORTAS,Netkel-AAO,Netkel,996478777,MLA23881633,https://www.mercadolibre.com.ar/p/MLA23881633,NIGHTSTANDS,image,ADD,,,,https://drive.google.com/file/d/1YMW8cm_sh3N3OBvrwO-avpnggePMvJwW/view?usp=drivesdk,RECHAZO,RECHAZO,SÍ,E-DP,E-IMGI,NO,,15/05/2026 10:29:13,OK,NOT OK,,ext_mamincz
AGFASSON,Netkel-AXB,Netkel,324504731,MLA33003441,https://www.mercadolibre.com.ar/p/MLA33003441,FLATWARE_KITS,attribute,UPDATE,COLOR,Rojo,Crema,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DUPA,SÍ,43402951,15/05/2026 10:29:15,,,,
AGFASSON,Netkel-AXB,Netkel,324504732,MLA33003441,https://www.mercadolibre.com.ar/p/MLA33003441,FLATWARE_KITS,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_619860-MLU74480672007_022024-F.jpg,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DUPA,SÍ,43402951,15/05/2026 10:29:16,,,,
AGFASSON,Netkel-AXB,Netkel,324504733,MLA33003441,https://www.mercadolibre.com.ar/p/MLA33003441,FLATWARE_KITS,title,UPDATE,,Juego Cubiertos 24 Pzs New Kolor Con Cubiertero Tramontina Color Rojo,Juego Cubiertos 24 Pzs New Kolor Con Cubiertero Tramontina Color Crema,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DUPA,SÍ,43402951,15/05/2026 10:29:16,,,,
AGFASSON,Netkel-AXB,Netkel,324504734,MLA33003441,https://www.mercadolibre.com.ar/p/MLA33003441,FLATWARE_KITS,description,UPDATE,,"Los cubiertos de la línea New Kolor cuentan con mangos de polipropileno en color azul y son altamente resistentes. Están fabricados con láminas de acero inoxidable que garantizan una gran resistencia y durabilidad. Las láminas de los cuchillos han sido sometidas a tratamiento térmico para asegurar una mayor durabilidad del filo.

Se pueden limpiar en el lavavajillas.

Características principales:
° Láminas de acero inoxidable.
° Mangos de polipropileno.

Recomendaciones de uso:
° Lavar las piezas antes del primer uso y secarlas.
° Manejar con precaución para evitar cortes y mantener fuera del alcance de los niños.
° Secar bien los cubiertos después de lavarlos para prolongar su durabilidad.
° Seguir las indicaciones de reciclaje para el desecho de productos y embalajes.

Contenido del juego:
- 6 Tenedores.
- 6 Cuchillos.
- 6 Cucharas.
- 6 Cucharitas.
- 1 organizador de cubiertos.","Los cubiertos de la línea New Kolor cuentan con mangos de polipropileno en color crema y son altamente resistentes. Están fabricados con láminas de acero inoxidable que garantizan una gran resistencia y durabilidad, y los cuchillos reciben tratamiento térmico para mayor durabilidad del filo. Se pueden limpiar en el lavavajillas e incluyen organizador de cubiertos para mantener todo ordenado.",,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DUPA,SÍ,43402951,15/05/2026 10:29:16,,,,
JOASTORI,Netkel-ABS,Netkel,897940629,MLA22672791,https://www.mercadolibre.com.ar/p/MLA22672791,FLOOR_CEILING_AND_WALL_LIGHTS,image,REORDER,,https://http2.mlstatic.com/D_NQ_NP_921491-MLA93511505561_092025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_646871-MLA93511158599_092025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_866742-MLA93095247216_092025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_883725-MLA99474078396_112025-F.jpg,https://http2.mlstatic.com/D_NQ_NP_883725-MLA99474078396_112025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_921491-MLA93511505561_092025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_646871-MLA93511158599_092025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_866742-MLA93095247216_092025-F.jpg,,RECHAZO,RECHAZO,SÍ,E-FI,E-FI,SÍ,,15/05/2026 10:29:19,,,,
JOASTORI,Netkel-ABS,Netkel,897940630,MLA22672791,https://www.mercadolibre.com.ar/p/MLA22672791,FLOOR_CEILING_AND_WALL_LIGHTS,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_646871-MLA93511158599_092025-F.jpg,RECHAZO,RECHAZO,SÍ,E-IPDP,E-IPDP,SÍ,,15/05/2026 10:29:19,,,,
JOASTORI,Netkel-ABS,Netkel,897940631,MLA22672791,https://www.mercadolibre.com.ar/p/MLA22672791,FLOOR_CEILING_AND_WALL_LIGHTS,title,UPDATE,,Spot Embutir Dicroica Movil Circular Plata Dorado Orientable Color Plateado,"Spot Embutir Dicroica Móvil Circular Plata/Dorado Orientable - a pilas, pero esta mierda no me deja cambiarlo",,RECHAZO,RECHAZO,SÍ,E-LNA,E-LNA,SÍ,,15/05/2026 10:29:19,,,,
JOASTORI,Netkel-ABS,Netkel,916033634,MLA22672791,https://www.mercadolibre.com.ar/p/MLA22672791,FLOOR_CEILING_AND_WALL_LIGHTS,main_features,ADD,,,Disponible en color Negro,,RECHAZO,RECHAZO,SÍ,E-MUL,E-MUL,SÍ,,15/05/2026 10:29:20,,,,
NAMANGAS,Netkel-AVL,Netkel,210234112,MLA42695212,https://www.mercadolibre.com.ar/p/MLA42695212,NON_CORRECTIVE_GLASSES_AND_FRAMES,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_950407-MLA99938297767_112025-F.jpg,RECHAZO,APROBACION,NO,E-IPDP,,NO,,15/05/2026 10:29:23,OK,NOT OK,,ext_mamincz
NAMANGAS,Netkel-AVL,Netkel,210234113,MLA42695212,https://www.mercadolibre.com.ar/p/MLA42695212,NON_CORRECTIVE_GLASSES_AND_FRAMES,description,UPDATE,,"MARCOS ARMAZONES ANTEOJOS VULK ASBURY

FRENTE ARMAZON DE G-FLEX  
PATILLA BISAGRA INTEGRADA  
PATILLA DE ACERO INOXIDABLE CON TERMINAL DE GOMA AJUSTABLE  
LENTE Demo Lens  

Medidas de Vulk Asbury  
MEDIDA ""A"" (TORNILLO A TORNILLO): 125 mm  
* Es la medida más importante que determina tu talle. Para saber cuál es tu talle, tomá la distancia entre tornillo y tornillo de un anteojo que te quede bien  
MEDIDA ""B"" (ALTO DE LENTE): 42 mm  
MEDIDA ""C"" (PUENTE): 20 mm  
MEDIDA ""D"" (ANCHO DE LENTE): 47 mm  
MEDIDA ""E"" (LARGO PATILLA): 145 mm  
PESO 14.2 GRAMS  
TALLE SMALL","MARCOS ARMAZONES ANTEOJOS VULK ASBURY

FRENTE ARMAZON DE G-FLEX
PATILLA BISAGRA INTEGRADA
PATILLA DE ACERO INOXIDABLE CON TERMINAL DE GOMA AJUSTABLE
LENTE Demo Lens

Aprovechá la compra en 12 cuotas sin interés y con garantía oficial para mayor tranquilidad.

Medidas de Vulk Asbury
MEDIDA ""A"" (TORNILLO A TORNILLO): 125 mm
* Es la medida más importante que determina tu talle. Para saber cuál es tu talle, tomá la distancia entre tornillo y tornillo de un anteojo que te quede bien
MEDIDA ""B"" (ALTO DE LENTE): 42 mm
MEDIDA ""C"" (PUENTE): 20 mm
MEDIDA ""D"" (ANCHO DE LENTE): 47 mm
MEDIDA ""E"" (LARGO PATILLA): 145 mm
PESO 14.2 GRAMS
TALLE SMALL",,RECHAZO,RECHAZO,SÍ,E-DV,E-DV,SÍ,,15/05/2026 10:29:23,,,,
NAMANGAS,Netkel-AVL,Netkel,856320722,MLA42695212,https://www.mercadolibre.com.ar/p/MLA42695212,NON_CORRECTIVE_GLASSES_AND_FRAMES,image,ADD,,,,https://drive.google.com/file/d/1HlmjNS06kSRN18FanjGOXsQ-vImjDgLM/view?usp=drivesdk,RECHAZO,RECHAZO,SÍ,E-DP,E-DP,SÍ,,15/05/2026 10:29:23,,,,
